#APID R_ap N_stars N_bg Flag Best_method int_logAge_E int_logAge_p16 int_logAge_p84 int_logMass_E int_logMass_p16 int_logMass_p84 int_Av_E int_Av_p16 int_Av_p84 cmd_logAge_best cmd_logAge_p16 cmd_logAge_p84 cmd_logMass_best cmd_logMass_p16 cmd_logMass_p84 cmd_Av_best cmd_Av_p16 cmd_Av_p84 C11_Age_Gyr C11_logMass C11_E(B-V) C11_Z C11_SigmaZ 
             23             2.3           366.0           206.0               B               M   8.58440457859   8.52521535738   8.64048776479   3.63040559301   3.57253948023   3.68662995089 0.0358390758782             0.0  0.110484432503             8.4             8.4             8.4   3.84652192163   3.84600837507    3.8693615621            0.55             0.5             0.6             0.0             0.0             0.0             0.0             0.0
             24             1.6           183.0           158.0               B               M   7.72698962838   7.67177216181   7.78018571803   3.17346995169   3.11700519942   3.23548401579  0.353577517638  0.242094292174  0.468705825588             7.2             7.1             7.3   3.11913722244   3.10084316889   3.13024317776             0.7            0.65            0.75             0.0             0.0             0.0             0.0             0.0
             25            1.95           156.0            53.0               B               M   8.35773631069   8.14178323566   8.67511342474   3.46718284161   3.33267111548   3.59162691117  0.844605057791  0.160280100355   1.25220510756             8.5             8.5             8.6    3.4402667634   3.41843082695   3.46322410334             0.5            0.35            0.55             0.0             0.0             0.0             0.0             0.0
             26            2.02           297.0           167.0               B               I   8.55360762143   8.42095484969   8.68933962135   3.94735076973    3.8648527682   4.03233070699   1.35874385461   1.13109371801    1.5909928903             9.0             8.9             9.0   3.89948642801    3.8533154721   3.92659635056             0.0             0.0            0.15             0.0             0.0             0.0             0.0             0.0
             27            2.25           306.0           303.0               B               M   7.46080289104   7.35883853005   7.59153142475   3.80385748802   3.72533057186   3.88223675194  0.536436334342   0.36463731846   0.69336128001             7.4             6.7             7.4   3.17667544235   3.10690854497   3.17518907823            0.55             0.5             0.6             0.0             0.0             0.0             0.0             0.0
             28            1.98           274.0           141.0               B               M   8.60237715412   8.52338025553   8.67792413153   3.70914322239   3.65736348251    3.7635973977  0.191259228031 0.0461532985581  0.339573896576             8.3             8.3             8.3   3.86186941217   3.84394468423   3.86967326339            0.85             0.8             0.9             0.0             0.0             0.0             0.0             0.0
             29            2.66           448.0           215.0              NS               I   7.69086740774   7.52633020442   7.82935266441   3.37256259184   3.17507644335   3.53957316401  0.328806160355  0.132424453883  0.524851846618             8.8             8.8             8.8   4.01672322277    3.9914361347   4.01713018283             0.1            0.05             0.1             0.0             0.0             0.0             0.0             0.0
             30            1.89           237.0            47.0             MAY               M    9.2456020505   9.14263141598   9.35204215852   4.00689856172   3.93262601555   4.08060250387  0.210893156938  0.076808177545  0.345323304404             8.1             8.1             8.2   3.84098213813   3.80474704983   3.87213182845            1.75             1.6            1.75             0.0             0.0             0.0             0.0             0.0
             31             2.3           274.0           159.0               B               M   8.40191427925   8.32196946245   8.47652966231   3.44337372341   3.35077475973   3.53548892421  0.216813914062  0.038510961199  0.387811117483             8.2             8.2             8.3   3.52417440857   3.51039137402   3.53430792628             0.3            0.25            0.35             0.0             0.0             0.0             0.0             0.0
             32            2.42           462.0           323.0               B               M   8.22822507426   8.11553285005   8.37420504446   3.68178083336   3.57545096174   3.79591685539  0.479046129541  0.191635844384  0.697165520625             8.2             8.2             8.2   3.91901310251   3.88234679939   3.91926053026             1.1            1.05             1.1             0.0             0.0             0.0             0.0             0.0
             33            1.76           158.0            44.0               B               M   8.10205647426   8.01392550011   8.18780819376   3.70044198068   3.61526899409   3.78068465464   0.74740402574  0.555827577175   0.94520412763             8.2             8.2             8.2   3.49589951377   3.49548197124   3.52357417518            0.35            0.35             0.4             0.0             0.0             0.0             0.0             0.0
             34            1.78           221.0           138.0               B               I    8.5656120437   8.42884097662   8.71629390771   3.51322144767     3.426699036   3.60874509664  0.662600013719   0.41863434354  0.899494861634             8.8             8.8             8.8   3.53055285195   3.49766425153   3.54798326947            0.05             0.0             0.1             0.0             0.0             0.0             0.0             0.0
             35            2.27           247.0           159.0               B               I   8.52820223148   8.28891804614   8.75730201212   3.90156184244   3.77698377213   4.02770417127  0.499515360143 0.0462097613622  0.967931092931             8.8             8.8             8.8   3.83814986213    3.8380287169   3.86261459078             0.0             0.0            0.05             0.0             0.0             0.0             0.0             0.0
             36            1.64           204.0           167.0               B               M   8.30574664494   8.30176849875   8.42747127898   3.02062856994    3.0527594743   3.19360431175 0.0321458692733             0.0 0.0987521757181             8.3             8.3             8.3   3.41006644942    3.3888586022   3.41008303719             0.5            0.45            0.55             0.0             0.0             0.0             0.0             0.0
             44            1.84           295.0           156.0               B               M   8.66666795962   8.55389215903   8.77888896085   3.75005238603   3.69576644274   3.81908160782  0.487494861287   0.31691913166  0.668403323135             8.3             8.2             8.3   4.01330291438   3.99505193489   4.03525385827             1.3             1.3             1.4             0.0             0.0             0.0             0.0             0.0
