#APID int_logAge_E int_logAge_p16 int_logAge_p84 int_logMass_E int_logMass_p16 int_logMass_p84 int_Av_E int_Av_p16 int_Av_p84 cmd_logAge_best cmd_logAge_p16 cmd_logAge_p50 cmd_logAge_p84 cmd_logMass_best cmd_logMass_p16 cmd_logMass_p50 cmd_logMass_p84 cmd_Av_best cmd_Av_p16 cmd_Av_p50 cmd_Av_p84 N_stars              
           1081   9.03545905222   8.74499069719   9.59271956844   4.07174137734   3.96836446755   4.17626818829  0.835019251557  0.215360313918    1.1844396411             8.0             7.5             7.9             8.1   3.72576120447   3.56495424439    3.6370005775   3.72383808231             2.2            2.05            2.25            2.45           236.0
           1082   7.72703622835   7.61397872654   7.86461532102   3.19359832499   3.08356346103    3.2958096286  0.367372638311  0.173232091054  0.555723289849             7.4             6.9             7.2             7.5   2.90719539157    2.8654026413   2.88620829585   2.90781389479            0.45             0.4             0.5            0.55           162.0
           1083   8.68370641714   8.50134240495   8.84887072043    3.2553649855   3.10389294229   3.40069184729  0.595955470293  0.293972049305  0.898885094165             8.2             7.9             8.2             8.2   3.49828303951   3.40779670511    3.4981855119   3.52345468393            1.65             1.6             1.7            1.75           165.0
           1084   8.30239837246   8.18909633249   8.41899718034    2.7314943418   2.44154814719   2.99638263872  0.515028798167 0.0908544708882   0.91962581895             8.2             8.2             8.2             8.6   2.92823579247   2.87345045017   2.93188903552   2.97908438917             1.1             0.9            1.05             1.2            55.0
           1088   7.18378615808   7.03505933494   7.34947576661   3.33863275995    3.2580469415   3.42791749914  0.975932939964  0.848672509179   1.09601792324             6.6             6.6             6.8             7.1   2.84466577688   2.82198383444   2.84514635482   2.88034558883            1.15            1.05             1.1            1.15           131.0
           1089   8.56621371844   8.40290563235   8.73635087237   3.12008221964   3.01845418394   3.23261958577  0.276592104189 0.0321312301488  0.528747876628             8.1             7.7             8.0             8.1   2.83841538786   2.77179886131   2.80172628589   2.83314392165             0.4            0.35            0.45            0.55           104.0
           1090   7.84777727424   7.81395751144    7.8837692346   2.22575939997   2.16667408023   2.24867442158  0.406531906225  0.325286858209   0.47456251546             8.4             8.3             8.4             8.4   3.34893291804   3.30558844757   3.33183658823   3.35233067117            0.75             0.7            0.75            0.85           125.0
           1091   8.83132971141   8.17666506644   9.32391122541   3.20473145461   3.03827933785   3.39485687585   0.57607541013  0.051847004604   1.33623060559             9.2             9.1             9.2             9.3   3.73669367086   3.52248783617    3.7290152163   3.90913426293            0.25             0.1             0.2            0.35            77.0
           1092   7.65004513779   7.30229355642   8.03137399451   2.96676408601   2.81389556702   3.11381397416   1.25323171414  0.784741699266   1.70332480922             8.9             8.1             8.7             8.9   3.25949845674   2.95743902307   3.12372977175   3.26380332589             0.6            0.55             1.1             1.8           117.0
           1093    8.1893819903   8.05580335767   8.33059694011   3.37438686885   3.24455867701   3.49964589476  0.846313131982  0.544848590718   1.14327017836             8.4             8.4             8.4             8.4   3.28618001052    3.2247196766   3.25432593799   3.32088887914             0.4             0.3             0.4            0.45           144.0
           1096   8.58840455536   8.26508277465   8.87761447957   3.46470019521   3.35041261546   3.60282717985   0.46560019986  0.011224053305   1.06083627669             7.9             7.8             7.9             7.9   3.17274927766    3.1652484135   3.21446259056   3.31365758057            0.85            0.85            0.95             1.2           158.0
           1099    9.3329113345   9.17804021834   9.50451781304   3.71730906485    3.5904473299   3.83677584438  0.176433150499 0.00582413156054  0.337490992508             8.9             8.8             8.9             8.9   3.45261868687   3.38552949466   3.44329181817   3.47582907117            0.15            0.15             0.3             0.5           205.0
             11   8.83894019047   8.55100451894    9.1117353598   3.41340358815   3.27873363321   3.57015822998  0.184385401599             0.0  0.392007856329             8.9             8.9             8.9             8.9   3.58019970782     3.579954246   3.59176550262    3.6037809965             0.0             0.0            0.05 0.0538593760253           137.0
